# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,726.509,201.6,0.113,7.842e-4,9.792,NaN,82.749,NaN,0,0,0,0.925,0.571,0.234,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,90,15,1013.25,0.001,340.389,0.006,1.851e5,6.604,34.253,0.01,0.001,0
0.01,6.528e-4,6.528e-4,0.212,0.212,48.971,48.971,-3.479e-6,0,3.479e-6,270,8.701e-4,0.105,28.61,-80.6,84.468,0,0,0,90,0,726.238,201.329,0.113,7.842e-4,9.792,NaN,82.737,NaN,42.676,6.001,2.006e-5,0.925,0.571,0.234,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.192,90,15,1013.25,0.001,340.389,0.006,1.852e5,6.604,34.253,0.01,0.002,2.717e-5
0.02,0.006,0.006,0.996,0.996,107.776,107.776,-1.755e-5,0,1.755e-5,270,0.002,0.122,28.61,-80.6,65.463,0,0,0,90,0,725.967,201.058,0.113,7.842e-4,9.792,NaN,82.725,NaN,85.353,12.007,0.002,0.913,0.56,0.234,0.12,0.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.184,90,15,1013.249,0.001,340.389,0.007,2.018e5,6.604,34.253,0.004,0.002,1.275e-4
0.024,0.011,0.011,1.474,1.474,131.308,131.308,-2.646e-5,0,2.646e-5,270,0.002,0.143,28.61,-80.6,55.907,0,0,0,90,0,725.859,200.95,0.113,7.842e-4,9.792,NaN,82.72,NaN,102.423,14.41,0.005,0.902,0.548,0.234,0.12,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.18,90,15,1013.249,0.001,340.389,0.008,2.213e5,6.604,34.253,0.006,0.003,1.887e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.022,0.022,2.298,2.298,143.421,143.421,-4.431e-5,0,4.431e-5,270,0.004,0,28.61,-80.6,43.375,0,0,0,90,0,725.418,200.509,0.113,7.841e-4,9.792,NaN,82.701,NaN,111.157,15.648,0.013,0.879,0.525,0.234,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.175,90,15,1013.247,0.001,340.389,0.009,2.66e5,6.604,34.253,0.009,0.003,2.943e-4
0.039,0.049,0.049,3.671,3.671,161.606,161.606,-7.882e-5,0,7.882e-5,270,0.004,0,28.61,-80.6,30.52,0,0,0,90,0,724.757,199.848,0.113,7.84e-4,9.792,NaN,82.672,NaN,124.257,17.509,0.035,0.845,0.491,0.234,0.12,0.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90,15,1013.244,0.001,340.389,0.013,3.585e5,6.604,34.253,0.01,0.003,4.7e-4
0.049,0.094,0.094,5.388,5.388,181.832,181.832,-1.172e-4,0,1.172e-4,270,0.004,0,28.61,-80.6,21.806,0,0,0,90,0,724.022,199.113,0.113,7.84e-4,9.792,NaN,82.639,NaN,138.813,19.579,0.073,0.813,0.459,0.234,0.12,1.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.16,90,14.999,1013.239,0.001,340.389,0.017,4.883e5,6.604,34.253,0.01,0.004,6.899e-4
0.059,0.158,0.158,7.308,7.308,202.08,202.08,-1.555e-4,0,1.555e-4,270,0.004,0,28.61,-80.6,16.458,0,0,0,90,0,723.287,198.378,0.113,7.839e-4,9.792,NaN,82.606,NaN,153.369,21.654,0.125,0.787,0.433,0.234,0.12,1.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.163,90,14.999,1013.232,0.001,340.388,0.022,6.411e5,6.604,34.253,0.01,0.004,9.356e-4
0.069,0.241,0.241,9.43,9.43,222.351,222.351,-1.938e-4,0,1.938e-4,270,0.004,0,28.61,-80.6,12.92,0,0,0,90,0,722.553,197.644,0.113,7.838e-4,9.792,NaN,82.574,NaN,167.925,23.734,0.189,0.767,0.413,0.234,0.12,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.167,90,14.998,1013.222,0.001,340.388,0.028,8.14e5,6.604,34.253,0.005,0.004,0.001
